gvkey	datadate	fyear	tic	at
001186	20081231	2008	AEM	3378.8240
001186	20091231	2009	AEM	4247.3570
001186	20101231	2010	AEM	5500.3510
001186	20111231	2011	AEM	5034.2620
001186	20121231	2012	AEM	5255.8420
001186	20131231	2013	AEM	4959.3590
001209	20080930	2008	APD	12571.3000
001209	20090930	2009	APD	13029.1000
001209	20100930	2010	APD	13505.9000
001209	20110930	2011	APD	14290.7000
001209	20120930	2012	APD	16941.8000
001209	20130930	2013	APD	17850.1000
001210	20090331	2008	AIRT	29.3410
001210	20100331	2009	AIRT	29.6040
001210	20110331	2010	AIRT	34.2210
001210	20120331	2011	AIRT	35.0830
001210	20130331	2012	AIRT	36.0550
001210	20140331	2013	AIRT	37.2210
001224	20081231	2008	EGN1	1126.5870
001224	20091231	2009	EGN1	1084.6660
001224	20101231	2010	EGN1	1167.5970
001224	20111231	2011	EGN1	1166.8000
001224	20121231	2012	EGN1	1182.8760
001224	20131231	2013	EGN1	1198.0750
001225	20081231	2008	SO1	16536.0060
001225	20091231	2009	SO1	17524.0930
001225	20101231	2010	SO1	17994.0000
001225	20111231	2011	SO1	18477.0000
001225	20121231	2012	SO1	18712.0000
001225	20131231	2013	SO1	19251.0000
001228	20080630	2008	ALAN	29.0970
001228	20090630	2009	ALAN	26.7190
001228	20100630	2010	ALAN	20.4960
001228	20110630	2011	ALAN	7.6160
001228	20120630	2012	ALAN	8.1080
001228	20130630	2013	ALAN	7.2170
001230	20081231	2008	ALK	4835.6000
001230	20091231	2009	ALK	4985.0000
001230	20101231	2010	ALK	5016.6000
001230	20111231	2011	ALK	5195.0000
001230	20121231	2012	ALK	5505.0000
001230	20131231	2013	ALK	5838.0000
001234	20081231	2008	ATRI	115.3530
001234	20091231	2009	ATRI	132.7490
001234	20101231	2010	ATRI	134.6520
001234	20111231	2011	ATRI	161.8950
001234	20121231	2012	ATRI	155.8100
001234	20131231	2013	ATRI	172.0660
001239	20080930	2008	ACV.1	1464.1900
001239	20090930	2009	ACV.1	1558.0140
001239	20100930	2010	ACV.1	1878.2750
001246	20080930	2008	IKN	2966.3340
001254	20081231	2008	MATX	2350.0000
001254	20091231	2009	MATX	2380.0000
001254	20101231	2010	MATX	2495.0000
001254	20111231	2011	MATX	2544.0000
001254	20121231	2012	MATX	1174.3000
001254	20131231	2013	MATX	1248.3000
001257	20081231	2008	ALX	1603.5680
001257	20081231	2008	ALX	1603.5680
001257	20091231	2009	ALX	1703.7690
001257	20091231	2009	ALX	1703.7690
001257	20101231	2010	ALX	1679.3000
001257	20101231	2010	ALX	1679.3000
001257	20111231	2011	ALX	1771.3070
001257	20111231	2011	ALX	1771.3070
001257	20121231	2012	ALX	1481.8100
001257	20121231	2012	ALX	1481.8100
001257	20131231	2013	ALX	1457.7240
001257	20131231	2013	ALX	1457.7240
001259	20080731	2008	ACEL	5.3200
001259	20090731	2009	ACEL	0.5570
001259	20100731	2010	ACEL	2.2420
001259	20110731	2011	ACEL	0.5220
001259	20120731	2012	ACEL	0.0800
001262	20081231	2008	AGMJF	706.0920
001262	20091231	2009	AGMJF	694.3060
001262	20101231	2010	AGMJF	741.4500
001262	20111231	2011	AGMJF	874.3970
001262	20121231	2012	AGMJF	883.7140
001262	20131231	2013	AGMJF	932.3540
001263	20090331	2008	0065A	3047.6000
001263	20100331	2009	0065A	2235.1000
001263	20110331	2010	0065A	1923.2000
001263	20120331	2011	0065A	1906.4000
001263	20130331	2012	0065A	1877.6000
001263	20140331	2013	0065A	1804.2000
001266	20080930	2008	ALCO	273.9320
001266	20090930	2009	ALCO	200.2350
001266	20100930	2010	ALCO	188.8170
001266	20110930	2011	ALCO	180.0350
001266	20120930	2012	ALCO	185.0830
001266	20130930	2013	ALCO	198.8400
001272	20080630	2008	ATPT	0.0000
001272	20090630	2009	ATPT	0.0000
001272	20100630	2010	ATPT	0.0000
001274	20081231	2008	Y	6181.8280
001274	20081231	2008	Y	6181.8280
001274	20091231	2009	Y	6192.7700
001274	20091231	2009	Y	6192.7700
001274	20101231	2010	Y	6431.6990
001274	20101231	2010	Y	6431.6990
001274	20111231	2011	Y	6478.0890
001274	20111231	2011	Y	6478.0890
001274	20121231	2012	Y	22807.9670
001274	20121231	2012	Y	22807.9670
001274	20131231	2013	Y	23361.0880
001274	20131231	2013	Y	23361.0880
001279	20081231	2008	AYE	10811.0480
001279	20091231	2009	AYE	11589.1000
001279	20101231	2010	AYE	12075.8000
001300	20081231	2008	HON	35490.0000
001300	20091231	2009	HON	36004.0000
001300	20101231	2010	HON	37834.0000
001300	20111231	2011	HON	39808.0000
001300	20121231	2012	HON	41853.0000
001300	20131231	2013	HON	45435.0000
001308	20081231	2008	ALY	1111.0580
001308	20091231	2009	ALY	1080.6200
001308	20101231	2010	ALY	1075.6560
001327	20080930	2008	SWKS	1236.0990
001327	20090930	2009	SWKS	1355.3260
001327	20100930	2010	SWKS	1564.0520
001327	20110930	2011	SWKS	1890.3890
001327	20120930	2012	SWKS	2136.6460
001327	20130930	2013	SWKS	2333.1000
001331	20081231	2008	APNI	46.9040
001331	20091231	2009	APNI	59.7780
001331	20101231	2010	APNI	66.7050
001331	20111231	2011	APNI	47.8990
001331	20121231	2012	APNI	47.9530
001352	20121231	2012	GYLD	
001352	20131231	2013	GYLD	
001356	20081231	2008	AA	37822.0000
001356	20091231	2009	AA	38472.0000
001356	20101231	2010	AA	39293.0000
001356	20111231	2011	AA	40120.0000
001356	20121231	2012	AA	40179.0000
001356	20131231	2013	AA	35742.0000
001367	20081231	2008	3AMBEQ	1.4960
001367	20091231	2009	3AMBEQ	1.0700
001367	20101231	2010	3AMBEQ	0.9760
001367	20111231	2011	3AMBEQ	0.9060
001380	20081231	2008	HES	28589.0000
001380	20091231	2009	HES	29465.0000
001380	20101231	2010	HES	35396.0000
001380	20111231	2011	HES	39136.0000
001380	20121231	2012	HES	43441.0000
001380	20131231	2013	HES	42754.0000
001382	20081231	2008	LCC	7214.0000
001382	20091231	2009	LCC	7454.0000
001382	20101231	2010	LCC	7819.0000
001382	20111231	2011	LCC	8335.0000
001382	20121231	2012	LCC	9396.0000
001388	20081231	2008	AMR1	22518.0000
001388	20091231	2009	AMR1	22964.0000
001388	20101231	2010	AMR1	22422.0000
001388	20111231	2011	AMR1	23589.0000
001388	20121231	2012	AMR1	23264.0000
001388	20131231	2013	AMR1	25612.0000
001393	20090331	2008	UHAL	3825.0730
001393	20100331	2009	UHAL	3762.4540
001393	20110331	2010	UHAL	4176.1540
001393	20120331	2011	UHAL	4654.0510
001393	20130331	2012	UHAL	5306.6010
001393	20140331	2013	UHAL	5998.9780
001397	20081231	2008	ABLT	295.0010
001397	20091231	2009	ABLT	277.6220
001397	20101231	2010	ABLT	123.2300
001397	20111231	2011	ABLT	120.4000
001397	20121231	2012	ABLT	131.8670
001397	20131231	2013	ABLT	119.8750
001408	20081231	2008	BEAM	12091.9000
001408	20091231	2009	BEAM	12370.6000
001408	20101231	2010	BEAM	12675.3000
001408	20111231	2011	BEAM	7491.8000
001408	20121231	2012	BEAM	8636.9000
001408	20131231	2013	BEAM	8584.7000
001410	20081031	2008	ABM	1549.9130
001410	20091031	2009	ABM	1521.1530
001410	20101031	2010	ABM	1548.6700
001410	20111031	2011	ABM	1879.5980
001410	20121031	2012	ABM	1869.2510
001410	20131031	2013	ABM	2119.2360
001414	20081231	2008	PRI	11161.1330
001414	20081231	2008	PRI	11161.1330
001414	20091231	2009	PRI	13227.7810
001414	20091231	2009	PRI	13227.7810
001414	20101231	2010	PRI	9884.3060
001414	20101231	2010	PRI	9884.3060
001414	20111231	2011	PRI	9998.5440
001414	20111231	2011	PRI	9998.5440
001414	20121231	2012	PRI	10337.8770
001414	20121231	2012	PRI	10337.8770
001414	20131231	2013	PRI	10329.9500
001414	20131231	2013	PRI	10329.9500
001417	20080630	2008	VBF	
001417	20090630	2009	VBF	
001417	20100630	2010	VBF	
001417	20110630	2011	VBF	
001417	20120630	2012	VBF	
001417	20130630	2013	VBF	
001429	20080831	2008	2388B	813.2990
001429	20090831	2009	2388B	761.2580
001429	20100831	2010	2388B	787.6780
001429	20110831	2011	2388B	878.1070
001429	20120831	2012	2388B	899.4800
001429	20130831	2013	2388B	950.9850
001439	20081231	2008	ECOL	127.7120
001439	20091231	2009	ECOL	123.6620
001439	20101231	2010	ECOL	217.3490
001439	20111231	2011	ECOL	202.5880
001439	20121231	2012	ECOL	218.6940
001439	20131231	2013	ECOL	300.5560
001440	20081231	2008	AEP	45155.0000
001440	20091231	2009	AEP	48348.0000
001440	20101231	2010	AEP	50455.0000
001440	20111231	2011	AEP	52223.0000
001440	20121231	2012	AEP	54367.0000
001440	20131231	2013	AEP	56414.0000
001447	20081231	2008	AXP	126074.0000
001447	20081231	2008	AXP	126074.0000
001447	20091231	2009	AXP	124088.0000
001447	20091231	2009	AXP	124088.0000
001447	20101231	2010	AXP	147042.0000
001447	20101231	2010	AXP	147042.0000
001447	20111231	2011	AXP	153337.0000
001447	20111231	2011	AXP	153337.0000
001447	20121231	2012	AXP	153140.0000
001447	20121231	2012	AXP	153140.0000
001447	20131231	2013	AXP	153375.0000
001447	20131231	2013	AXP	153375.0000
001448	20081231	2008	AXP1	39265.0000
001448	20091231	2009	AXP1	28152.0000
001448	20101231	2010	AXP1	29221.0000
001448	20111231	2011	AXP1	31141.0000
001448	20121231	2012	AXP1	33795.0000
001448	20131231	2013	AXP1	29926.0000
001449	20081231	2008	AFL	79331.0000
001449	20081231	2008	AFL	79331.0000
001449	20091231	2009	AFL	84106.0000
001449	20091231	2009	AFL	84106.0000
001449	20101231	2010	AFL	101039.0000
001449	20101231	2010	AFL	101039.0000
001449	20111231	2011	AFL	117102.0000
001449	20111231	2011	AFL	117102.0000
001449	20121231	2012	AFL	131094.0000
001449	20121231	2012	AFL	131094.0000
001449	20131231	2013	AFL	121307.0000
001449	20131231	2013	AFL	121307.0000
001468	20090228	2008	AM.1	1433.7880
001468	20100228	2009	AM.1	1529.6510
001468	20110228	2010	AM.1	1547.2490
001468	20120229	2011	AM.1	1549.4640
001468	20130228	2012	AM.1	1583.4630
001478	20081231	2008	WYE	44031.7240
001487	20081231	2008	AIG	860418.0000
001487	20081231	2008	AIG	860418.0000
001487	20091231	2009	AIG	847585.0000
001487	20091231	2009	AIG	847585.0000
001487	20101231	2010	AIG	683443.0000
001487	20101231	2010	AIG	683443.0000
001487	20111231	2011	AIG	555773.0000
001487	20111231	2011	AIG	555773.0000
001487	20121231	2012	AIG	548633.0000
001487	20121231	2012	AIG	548633.0000
001487	20131231	2013	AIG	541329.0000
001487	20131231	2013	AIG	541329.0000
001491	20081231	2008	HAIPF	540.8260
001491	20091231	2009	HAIPF	611.0470
001491	20101231	2010	HAIPF	781.6100
001491	20111231	2011	HAIPF	696.5130
001491	20121231	2012	HAIPF	708.0800
001491	20131231	2013	HAIPF	684.0710
001496	20081231	2008	ALGI	10.8100
001496	20091231	2009	ALGI	8.8950
001496	20101231	2010	ALGI	9.7090
001496	20111231	2011	ALGI	10.0690
001496	20121231	2012	ALGI	9.9630
001496	20131231	2013	ALGI	8.9560
001507	20121231	2012	HYEM	
001507	20131231	2013	HYEM	
001511	20080831	2008	TEEE.	2.1640
001511	20090831	2009	TEEE.	2.0540
001511	20100831	2010	TEEE.	1.9470
001511	20110831	2011	TEEE.	0.0650
001511	20120831	2012	TEEE.	0.0060
001511	20130831	2013	TEEE.	0.0120
001518	20080930	2008	HIST	8.7820
001518	20090930	2009	HIST	8.6870
001523	20081231	2008	AMAC	34.3660
001523	20091231	2009	AMAC	35.8290
001523	20101231	2010	AMAC	37.5170
001526	20081231	2008	ANAT	18379.4390
001526	20081231	2008	ANAT	18379.4390
001526	20091231	2009	ANAT	20149.5070
001526	20091231	2009	ANAT	20149.5070
001526	20101231	2010	ANAT	21413.0390
001526	20101231	2010	ANAT	21413.0390
001526	20111231	2011	ANAT	22524.2560
001526	20111231	2011	ANAT	22524.2560
001526	20121231	2012	ANAT	23107.0740
001526	20121231	2012	ANAT	23107.0740
001526	20131231	2013	ANAT	23324.8830
001526	20131231	2013	ANAT	23324.8830
001533	20080930	2008	APFC	251.4130
001533	20090930	2009	APFC	264.8410
001533	20100930	2010	APFC	275.7430
001533	20110930	2011	APFC	268.6500
001533	20120930	2012	APFC	246.4640
001533	20130930	2013	APFC	277.3070
001539	20081231	2008	AMPH.1	283.5540
001539	20081231	2008	AMPH.1	283.5540
001539	20091231	2009	AMPH.1	299.7720
001539	20091231	2009	AMPH.1	299.7720
001545	20081231	2008	ARL	1842.1530
001545	20081231	2008	ARL	1842.1530
001545	20091231	2009	ARL	1806.0540
001545	20091231	2009	ARL	1806.0540
001545	20101231	2010	ARL	1557.2750
001545	20101231	2010	ARL	1557.2750
001545	20111231	2011	ARL	1235.4710
001545	20111231	2011	ARL	1235.4710
001545	20121231	2012	ARL	1135.3450
001545	20121231	2012	ARL	1135.3450
001545	20131231	2013	ARL	943.3220
001545	20131231	2013	ARL	943.3220
001554	20090331	2008	ASEI	268.2870
001554	20100331	2009	ASEI	299.8530
001554	20110331	2010	ASEI	336.5740
001554	20120331	2011	ASEI	324.8650
001554	20130331	2012	ASEI	281.4490
001554	20140331	2013	ASEI	265.5110
001559	20081231	2008	AMS	62.1960
001559	20091231	2009	AMS	60.6210
001559	20101231	2010	AMS	65.3400
001559	20111231	2011	AMS	74.5350
001559	20121231	2012	AMS	73.3230
001559	20131231	2013	AMS	71.7420
001562	20090430	2008	AMSWA	112.3190
001562	20100430	2009	AMSWA	97.1750
001562	20110430	2010	AMSWA	104.8320
001562	20120430	2011	AMSWA	116.5530
001562	20130430	2012	AMSWA	113.0700
001562	20140430	2013	AMSWA	131.2200
001585	20081231	2008	AVD	286.9370
001585	20091231	2009	AVD	254.7110
001585	20101231	2010	AVD	281.7990
001585	20111231	2011	AVD	339.1410
001585	20121231	2012	AVD	399.8900
001585	20131231	2013	AVD	447.4430
001593	20081130	2008	AMN	726.3220
001593	20091130	2009	AMN	762.5490
001593	20101130	2010	AMN	781.5690
001598	20081231	2008	AME	3055.5420
001598	20091231	2009	AME	3246.0320
001598	20101231	2010	AME	3818.9150
001598	20111231	2011	AME	4319.4900
001598	20121231	2012	AME	5190.0560
001598	20131231	2013	AME	5877.9020
001602	20081231	2008	AMGN	36443.0000
001602	20091231	2009	AMGN	39629.0000
001602	20101231	2010	AMGN	43486.0000
001602	20111231	2011	AMGN	48871.0000
001602	20121231	2012	AMGN	54298.0000
001602	20131231	2013	AMGN	66125.0000
001611	20081231	2008	AMPLQ	935.9170
001611	20081231	2008	AMPLQ	935.9170
001611	20091231	2009	AMPLQ	920.6000
001611	20091231	2009	AMPLQ	920.6000
001611	20101231	2010	AMPLQ	1397.6750
001611	20101231	2010	AMPLQ	1397.6750
001611	20111231	2011	AMPLQ	846.6090
001611	20111231	2011	AMPLQ	846.6090
001613	20081231	2008	AP	488.9810
001613	20091231	2009	AP	471.8250
001613	20101231	2010	AP	526.9630
001613	20111231	2011	AP	531.6320
001613	20121231	2012	AP	533.1790
001613	20131231	2013	AP	502.6730
001618	20090430	2008	AXR	227.6520
001618	20090430	2008	AXR	227.6520
001618	20100430	2009	AXR	211.5090
001618	20100430	2009	AXR	211.5090
001618	20110430	2010	AXR	190.0400
001618	20110430	2010	AXR	190.0400
001618	20120430	2011	AXR	203.0390
001618	20120430	2011	AXR	203.0390
001618	20130430	2012	AXR	195.8560
001618	20130430	2012	AXR	195.8560
001618	20140430	2013	AXR	184.9480
001618	20140430	2013	AXR	184.9480
001632	20081031	2008	ADI	3090.9920
001632	20091031	2009	ADI	3404.2940
001632	20101031	2010	ADI	4328.8310
001632	20111031	2011	ADI	5277.6350
001632	20121031	2012	ADI	5620.3470
001632	20131031	2013	ADI	6381.7500
001633	20080731	2008	ALOG	511.1650
001633	20090731	2009	ALOG	464.1140
001633	20100731	2010	ALOG	485.7760
001633	20110731	2011	ALOG	521.5520
001633	20120731	2012	ALOG	557.9960
001633	20130731	2013	ALOG	587.7840
001634	20081231	2008	ANLY	54.2540
001634	20091231	2009	ANLY	30.6770
001634	20101231	2010	ANLY	23.6120
001634	20111231	2011	ANLY	26.1920
001634	20121231	2012	ANLY	24.7190
001635	20080630	2008	ANEN	172.1030
001635	20090630	2009	ANEN	237.0550
001635	20100630	2010	ANEN	241.3480
001635	20110630	2011	ANEN	252.6450
001635	20120630	2012	ANEN	213.7870
001635	20130630	2013	ANEN	215.6450
001650	20081231	2008	ANDR	5.4220
001650	20091231	2009	ANDR	5.8270
001650	20101231	2010	ANDR	5.7880
001650	20111231	2011	ANDR	5.2370
001650	20121231	2012	ANDR	3.7300
001650	20131231	2013	ANDR	2.7890
001659	20081231	2008	ANDE	1308.7730
001659	20091231	2009	ANDE	1284.3910
001659	20101231	2010	ANDE	1699.3900
001659	20111231	2011	ANDE	1734.1230
001659	20121231	2012	ANDE	2182.3040
001659	20131231	2013	ANDE	2273.5560
001661	20081231	2008	NBR	10467.9820
001661	20091231	2009	NBR	10644.6900
001661	20101231	2010	NBR	11646.5690
001661	20111231	2011	NBR	12912.1400
001661	20121231	2012	NBR	12656.0220
001661	20131231	2013	NBR	12159.8110
001676	20100630	2010	MXLP	229.5670
001676	20110630	2011	MXLP	317.1720
001678	20081231	2008	APA	29186.4850
001678	20091231	2009	APA	28185.7430
001678	20101231	2010	APA	43425.0000
001678	20111231	2011	APA	52051.0000
001678	20121231	2012	APA	60737.0000
001678	20131231	2013	APA	61637.0000
001681	20081231	2008	ASOE	36.1200
001681	20091231	2009	ASOE	34.1350
001681	20101231	2010	ASOE	37.8130
001681	20111231	2011	ASOE	28.1690
001681	20121231	2012	ASOE	27.1710
001681	20131231	2013	ASOE	27.7010
001682	20081231	2008	APAGF	202.7940
001682	20091231	2009	APAGF	224.1910
001682	20101231	2010	APAGF	248.1890
001682	20111231	2011	APAGF	282.9960
001682	20121231	2012	APAGF	336.7070
001682	20131231	2013	APAGF	375.2540
001686	20090228	2008	APOG	527.6840
001686	20100228	2009	APOG	526.8540
001686	20110228	2010	APOG	515.3670
001686	20120229	2011	APOG	493.1040
001686	20130228	2012	APOG	520.1410
001686	20140228	2013	APOG	565.3570
001689	20081231	2008	AEP1	8762.6640
001689	20091231	2009	AEP1	9796.4130
001689	20101231	2010	AEP1	9997.1530
001689	20111231	2011	AEP1	10299.5070
001689	20121231	2012	AEP1	10507.6680
001689	20131231	2013	AEP1	11310.6480
001690	20080930	2008	AAPL	39572.0000
001690	20090930	2009	AAPL	47501.0000
001690	20100930	2010	AAPL	75183.0000
001690	20110930	2011	AAPL	116371.0000
001690	20120930	2012	AAPL	176064.0000
001690	20130930	2013	AAPL	207000.0000
001704	20081031	2008	AMAT	11006.3180
001704	20091031	2009	AMAT	9574.2430
001704	20101031	2010	AMAT	10943.3450
001704	20111031	2011	AMAT	13861.0000
001704	20121031	2012	AMAT	12102.0000
001704	20131031	2013	AMAT	12043.0000
001705	20081231	2008	SSHZ	23.6730
001705	20091231	2009	SSHZ	19.6630
001706	20080831	2008	ATU	1668.3820
001706	20090831	2009	ATU	1568.4310
001706	20100831	2010	ATU	1621.7030
001706	20110831	2011	ATU	2056.6810
001706	20120831	2012	ATU	2007.1190
001706	20130831	2013	ATU	2119.3320
001712	20081231	2008	TREC	98.1460
001712	20091231	2009	TREC	90.4870
001712	20101231	2010	TREC	92.5280
001712	20111231	2011	TREC	110.6120
001712	20121231	2012	TREC	120.3760
001712	20131231	2013	TREC	143.6670
001715	20081031	2008	AROBF	1066.3110
001715	20091031	2009	AROBF	1138.9030
001715	20101031	2010	AROBF	1208.6190
001715	20111031	2011	AROBF	1249.1450
001718	20080630	2008	AOXY	0.7890
001718	20090630	2009	AOXY	0.6870
001718	20100630	2010	AOXY	0.5460
001718	20110630	2011	AOXY	0.6550
001718	20120630	2012	AOXY	0.5590
001718	20130630	2013	AOXY	0.5850
001722	20080630	2008	ADM	37056.0000
001722	20090630	2009	ADM	31585.0000
001722	20100630	2010	ADM	31548.0000
001722	20110630	2011	ADM	42193.0000
001722	20120630	2012	ADM	41553.0000
001722	20131231	2013	ADM	43752.0000
001728	20081231	2008	ARDNA	99.8100
001728	20091231	2009	ARDNA	115.0970
001728	20101231	2010	ARDNA	127.8840
001728	20111231	2011	ARDNA	135.0630
001728	20121231	2012	ARDNA	90.0470
001742	20081231	2008	PNW1	10963.5770
001742	20091231	2009	PNW1	11503.4020
001742	20101231	2010	PNW1	12241.5820
001742	20111231	2011	PNW1	13032.2370
001742	20121231	2012	PNW1	13242.5420
001742	20131231	2013	PNW1	13381.3770
001743	20081231	2008	ARCB	972.2980
001743	20091231	2009	ARCB	869.5460
001743	20101231	2010	ARCB	860.9510
001743	20111231	2011	ARCB	916.2200
001743	20121231	2012	ARCB	1034.4620
001743	20131231	2013	ARCB	1017.3260
001745	20081231	2008	ETR1	6568.2130
001745	20091231	2009	ETR1	6435.6400
001745	20101231	2010	ETR1	6751.3680
001745	20111231	2011	ETR1	7212.2120
001745	20121231	2012	ETR1	7819.4450
001745	20131231	2013	ETR1	8034.8900
001773	20081231	2008	ARW	7118.2850
001773	20091231	2009	ARW	7762.3660
001773	20101231	2010	ARW	9600.5380
001773	20111231	2011	ARW	9829.0790
001773	20121231	2012	ARW	10785.6870
001773	20131231	2013	ARW	12060.8830
001783	20081130	2008	ARTW	27.2260
001783	20091130	2009	ARTW	23.9200
001783	20101130	2010	ARTW	26.7780
001783	20111130	2011	ARTW	25.8550
001783	20121130	2012	ARTW	31.2290
001783	20131130	2013	ARTW	32.7680
001790	20081231	2008	AB.H	9.0780
001790	20091231	2009	AB.H	8.5570
001790	20101231	2010	AB.H	6.3740
001790	20111231	2011	AB.H	10.8720
001790	20121231	2012	AB.H	9.8540
001790	20131231	2013	AB.H	9.8480
001794	20080930	2008	ASH	5771.0000
001794	20090930	2009	ASH	9447.0000
001794	20100930	2010	ASH	9531.0000
001794	20110930	2011	ASH	12966.0000
001794	20120930	2012	ASH	12524.0000
001794	20130930	2013	ASH	12088.0000
001797	20080630	2008	ASPN.1	20.0010
001797	20090630	2009	ASPN.1	11.6940
001820	20090131	2008	ALOT	62.1550
001820	20100131	2009	ALOT	64.6760
001820	20110131	2010	ALOT	64.9990
001820	20120131	2011	ALOT	67.0620
001820	20130131	2012	ALOT	79.9130
